Data Type,True Values,Mean Predictions,
Train,30.91,32.40809999999999,3.091
Train,11.94,11.85780000000002,1.194
Train,10.69,11.888200000000026,1.069
Train,3.8,4.004100000000003,0.38
Train,3.11,3.1243000000000056,0.311
Train,7.9,7.549699999999993,0.79
Train,14.16,14.883600000000015,1.416
Train,20.3,20.120399999999982,2.03
Train,31.14,31.103000000000005,3.114
Train,19.07,18.749799999999986,1.907
Train,13,12.438599999999997,1.3
Train,12.89,11.73690000000001,1.289
Train,3.55,3.422800000000004,0.355
Train,19.18,17.58780000000001,1.918
Train,12.8,13.086899999999984,1.28
Train,9.8,8.938499999999989,0.98
Train,3.99,4.168800000000002,0.399
Train,11.5,10.13366428571428,1.15
Train,4.9,5.085466666666662,0.49
Train,3.9,4.098333333333331,0.39
Train,7,6.909900000000002,0.7
Train,1.95,2.266999999999999,0.195
Train,12.6,12.163500000000006,1.26
Train,8.93,8.548774999999988,0.893
Train,3.89,4.223299999999996,0.389
Train,6.4,7.106299999999993,0.64
Train,17.57,18.010799999999993,1.757
Train,5.93,7.353599999999992,0.593
Train,12.96,13.089400000000014,1.296
Train,4.05,3.176450000000002,0.405
Train,2,2.527,0.2
Train,3.75,3.588900000000001,0.375
Train,1.64,1.9672999999999967,0.164
Train,10.4,10.34089999999999,1.04
Train,10.99,11.335500000000003,1.099
Train,4.2,4.573333333333326,0.42
Train,8.67,7.269149999999994,0.867
Train,14.17,14.013800000000003,1.417
Train,2.75,3.1109000000000004,0.275
Train,31.25,30.034200000000006,3.125
Train,0.51,0.9816666666666672,0.051
Train,3.8,3.3140000000000054,0.38
Train,9.7,8.603750000000005,0.97
Train,14.66,15.41090000000002,1.466
Train,4.4,4.842299999999993,0.44
Train,11.4,11.135199999999992,1.14
Train,5.6,5.743200000000004,0.56
Train,10.25,11.188200000000009,1.025
Train,2.5,3.047000000000001,0.25
Train,15.51,14.013499999999997,1.551
Train,31.83,31.36129999999998,3.183
Train,4.08,4.159999999999998,0.408
Train,14.3,14.816799999999978,1.43
Train,8.1,7.9932000000000105,0.81
Train,8.3,6.756899999999991,0.83
Train,3,3.27,0.3
Train,24.64,25.250500000000017,2.464
Train,7.12,7.300700000000005,0.712
Train,10.7,10.467000000000017,1.07
Train,4.6,5.034619047619053,0.46
Train,2.5,2.590333333333334,0.25
Train,23.8,22.157799999999973,2.38
Train,11.39,10.9894,1.139
Train,25.45,25.366300000000024,2.545
Train,8.14,5.607699999999995,0.814
Train,32.4,32.02780000000002,3.24
Train,10.4,10.377999999999991,1.04
Train,2.5,2.757999999999999,0.25
Train,5.3,5.549750000000005,0.53
Train,27.9,28.59580000000002,2.79
Train,1.2,1.0980000000000005,0.12
Train,7.5,8.387699999999997,0.75
Train,6.6,6.519333333333338,0.66
Train,5.63,5.914299999999997,0.563
Train,9.8,10.117499999999989,0.98
Train,7.99,9.112500000000008,0.799
Train,6,6.553300000000002,0.6
Train,3.42,3.883900000000003,0.342
Train,13.32,14.610799999999983,1.332
Train,7.1,6.732500000000004,0.71
Train,30.2,25.0988,3.02
Train,5.97,4.961900000000007,0.597
Train,22.1,21.677499999999956,2.21
Train,23.84,23.454599999999996,2.384
Train,15.56,15.18059999999997,1.556
Train,0,0.08319999999999997,0
Train,12.5,12.151100000000003,1.25
Train,2.04,2.184299999999998,0.204
Train,3.44,3.5129999999999977,0.344
Train,3.52,4.581799999999994,0.352
Train,6.46,6.781700000000002,0.646
Train,2.56,2.8956999999999997,0.256
Train,11.36,10.9713,1.136
Train,1.1,1.049999999999999,0.11
Train,6.25,6.278400000000001,0.625
Train,1.1,1.1721999999999986,0.11
Train,10,10.650499999999996,1
Train,2,2.1683999999999988,0.2
Train,8.6,7.682400000000012,0.86
Train,8.02,7.683699999999995,0.802
Train,10.6,10.956400000000006,1.06
Train,9.2,9.220000000000013,0.92
Train,19.4,20.183500000000016,1.94
Train,6.38,6.419299999999998,0.638
Train,11.7,11.460000000000012,1.17
Train,8.3,8.116299999999994,0.83
Train,2.51,3.0997999999999983,0.251
Train,8,7.334500000000003,0.8
Train,9,7.95433333333334,0.9
Train,8.8,8.2141,0.88
Train,14.5,15.214399999999996,1.45
Train,7.19,7.191000000000013,0.719
Train,6.78,6.681099999999987,0.678
Train,4,4.2934,0.4
Train,0.82,0.9074999999999989,0.082
Train,5,5.076000000000003,0.5
Train,10.63,10.131599999999995,1.063
Train,25.86,24.471099999999993,2.586
Train,5.3,5.094966666666673,0.53
Train,8,8.0322,0.8
Train,10.25,11.079,1.025
Train,18.4,18.54580000000002,1.84
Train,4.5,5.0744,0.45
Train,6.48,7.306300000000005,0.648
Train,0.65,0.6749999999999996,0.065
Train,3.91,3.6283000000000034,0.391
Train,10.95,10.317500000000011,1.095
Train,1.78,1.9334000000000002,0.178
Train,3.2,4.033699999999995,0.32
Train,1.68,1.5985000000000034,0.168
Train,2.76,3.158699999999998,0.276
Train,0.74,0.9508999999999993,0.074
Train,8.6,7.847033333333344,0.86
Train,21.88,21.76850000000005,2.188
Train,10.1,10.060000000000016,1.01
Train,4.12,4.031200000000001,0.412
Train,12.96,13.185300000000018,1.296
Train,8.53,7.87519999999999,0.853
Train,10.3,10.17558333333332,1.03
Train,13.99,13.139000000000003,1.399
Train,2.8,2.930000000000004,0.28
Train,1.68,2.005400000000003,0.168
Train,23.55,22.979399999999995,2.355
Train,6.5,5.976800000000004,0.65
Train,9.18,13.836100000000012,0.918
Train,11.9,12.038100000000002,1.19
Train,17.58,16.262899999999973,1.758
Train,1.9,2.094200000000001,0.19
Train,3.8,4.30953333333334,0.38
Train,7.5,6.651199999999999,0.75
Train,6.05,6.382500000000001,0.605
Train,8.3,7.729049999999993,0.83
Train,1.71,2.141100000000001,0.171
Train,1.48,2.2310999999999974,0.148
Train,4.03,4.648199999999989,0.403
Train,16.03,15.960399999999993,1.603
Train,11.9,11.6074,1.19
Train,7.4,7.162999999999996,0.74
Train,1.15,1.540600000000002,0.115
Train,6.9,6.848999999999997,0.69
Train,7.4,7.826399999999993,0.74
Train,1.89,1.7606999999999957,0.189
Train,5,4.7896,0.5
Train,3.14,4.791049999999991,0.314
Train,12.21,12.411300000000013,1.221
Train,36.73,35.342600000000004,3.673
Train,1.76,2.833899999999998,0.176
Train,13.9,13.143200000000009,1.39
Train,21.67,21.48520000000003,2.167
Train,4.62,4.025500000000001,0.462
Train,7.5,10.668399999999997,0.75
Train,1.6,1.471199999999998,0.16
Train,8.8,8.391399999999988,0.88
Train,7.41,7.636400000000004,0.741
Train,4.32,3.846899999999996,0.432
Train,8.1,7.820400000000003,0.81
Train,5,5.798099999999998,0.5
Train,11.6,11.343300000000001,1.16
Train,10.7,10.893583333333341,1.07
Train,10.2,9.809600000000017,1.02
Train,16.65,16.814200000000024,1.665
Train,3.65,4.221799999999999,0.365
Train,1,1.1485999999999996,0.1
Train,1.74,1.4673999999999996,0.174
Train,22.77,19.52949999999999,2.277
Test,32.4,32.21039999999999,3.24
Test,2.89,3.4368999999999943,0.289
Test,3.4,4.959299999999999,0.34
Test,6.29,4.974699999999998,0.629
Test,1.89,3.435483333333334,0.189
Test,0.56,1.3547499999999995,0.056
Test,8,9.276899999999998,0.8
Test,15.5,14.059799999999997,1.55
Test,2.78,2.969200000000003,0.278
Test,7.3,7.486999999999998,0.73
Test,4.37,3.6359999999999975,0.437
Test,3,3.955399999999997,0.3
Test,1.92,1.8075999999999988,0.192
Test,11.18,10.49080000000001,1.118
Test,8.3,7.729049999999993,0.83
Test,5.68,2.820299999999999,0.568
Test,4.12,3.9797999999999973,0.412
Test,25.13,22.04780000000001,2.513
Test,18.98,16.362599999999986,1.898
Test,3.72,4.007900000000007,0.372
Test,4.37,6.805300000000001,0.437
Test,1.99,2.476,0.199
Test,12,10.922900000000002,1.2
Test,5.4,7.38389999999999,0.54
